geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
ES056C,989.5,8665.833333333334,32760.666666666668,86786.16666666667,6563.333333333333,474.91
ES057C,331.6666666666667,8948.666666666666,31026.333333333332,74057.33333333333,17897.333333333332,446.39000000000004
ES058C,1139.0,3436.6666666666665,21781.833333333332,51364.666666666664,8773.0,450.5366666666667
ES059C,60966.333333333336,46109.5,141925.0,403642.6666666667,39712.333333333336,473.1233333333333
ES060C,14619.833333333334,21835.333333333332,92616.16666666667,234329.5,32588.833333333332,462.615
ES061C,12583.5,17662.666666666668,82496.83333333333,216062.5,29211.833333333332,504.59999999999997
ES062C,7384.5,25156.166666666668,72486.33333333333,213093.0,9515.666666666666,475.32166666666666
ES063C,16266.666666666666,6109.333333333333,78166.0,187734.5,22812.333333333332,393.58166666666665
ES064C,18981.0,13941.166666666666,84843.33333333333,196363.33333333334,37707.0,479.0183333333334
ES065C,19494.666666666668,21750.5,71482.66666666667,199560.16666666666,27004.666666666668,443.1933333333333
ES066C,15509.5,8454.0,71725.16666666667,175046.5,18807.5,446.09999999999997
ES067C,29516.0,9393.666666666666,52807.833333333336,143729.66666666666,14362.5,405.24666666666667
ES068C,13045.0,12906.0,71274.33333333333,173166.0,14488.0,436.84999999999997
ES069C,18543.333333333332,13877.0,67724.83333333333,172873.5,32470.333333333332,488.6166666666666
ES070C,13438.666666666666,16246.5,50158.666666666664,143186.33333333334,9930.333333333334,482.4816666666666
ES071C,11390.833333333334,11604.333333333334,38415.5,114638.66666666667,4072.3333333333335,371.06333333333333
ES072C,11886.333333333334,6927.166666666667,45717.666666666664,122978.0,11446.5,459.83833333333337
ES073C,14170.5,8903.166666666666,55420.5,135325.83333333334,28708.5,443.3866666666667
ES074C,16964.0,11347.166666666666,39397.5,112430.16666666667,4920.166666666667,449.84
ES075C,30459.0,8574.333333333334,59639.166666666664,140180.33333333334,31461.0,412.77500000000003
ES076C,7929.333333333333,6129.0,40149.5,104820.0,14047.333333333334,496.11999999999995
ES077C,4773.666666666667,8988.0,53914.666666666664,128767.16666666667,24427.5,386.375
ES078C,2509.1666666666665,15501.5,50730.0,135831.33333333334,5847.0,501.34
ES079C,3833.8333333333335,13528.5,42877.5,122623.66666666667,13951.166666666666,479.82166666666666
ES080C,596.0,12267.166666666666,59393.5,147886.33333333334,49289.166666666664,525.68
ES081C,740.1666666666666,9649.0,60059.5,133276.5,28422.833333333332,463.70166666666665
ES082C,559.8333333333334,9127.166666666666,27107.5,75726.66666666667,3125.3333333333335,465.8433333333333
ES083C,4044.8333333333335,4739.0,22786.0,59162.666666666664,5182.0,476.5733333333333
ES084C,5618.0,3636.6666666666665,23087.666666666668,57999.5,5979.333333333333,512.775
ES085C,254.16666666666666,6545.666666666667,28379.5,70783.33333333333,22805.333333333332,471.8283333333334
ES086C,320.0,9838.333333333334,31160.833333333332,86006.5,5098.833333333333,455.19166666666666
ES087C,8581.166666666666,4455.666666666667,29224.833333333332,64246.5,16027.5,481.395
ES088C,5199.833333333333,3539.0,22558.5,54202.666666666664,5983.666666666667,486.7583333333334
